strategy,frequency,period_utc,return_fraction
close_above_sma200,month,2020-07,0
close_above_sma200,month,2020-08,0
close_above_sma200,month,2020-09,0
close_above_sma200,month,2020-10,0
close_above_sma200,month,2020-11,0
close_above_sma200,month,2020-12,0
close_above_sma200,month,2021-01,0
close_above_sma200,month,2021-02,0
close_above_sma200,month,2021-03,0
close_above_sma200,month,2021-04,0
close_above_sma200,month,2021-05,0
close_above_sma200,month,2021-06,0
close_above_sma200,month,2021-07,0
close_above_sma200,month,2021-08,0
close_above_sma200,month,2021-09,0
close_above_sma200,month,2021-10,0
close_above_sma200,month,2021-11,0
close_above_sma200,month,2021-12,0
close_above_sma200,month,2022-01,0
close_above_sma200,month,2022-02,0
close_above_sma200,month,2022-03,0
close_above_sma200,month,2022-04,0
close_above_sma200,month,2022-05,0
close_above_sma200,month,2022-06,0
close_above_sma200,month,2022-07,0
close_above_sma200,month,2022-08,0
close_above_sma200,month,2022-09,0
close_above_sma200,month,2022-10,0
close_above_sma200,month,2022-11,0
close_above_sma200,month,2022-12,0
close_above_sma200,month,2023-01,0
close_above_sma200,month,2023-02,0
close_above_sma200,month,2023-03,0
close_above_sma200,month,2023-04,0
close_above_sma200,month,2023-05,0
close_above_sma200,month,2023-06,0
close_above_sma200,month,2023-07,0
close_above_sma200,month,2023-08,0
close_above_sma200,month,2023-09,0
close_above_sma200,month,2023-10,0
close_above_sma200,month,2023-11,0
close_above_sma200,month,2023-12,0
close_above_sma200,month,2024-01,0
close_above_sma200,month,2024-02,0
close_above_sma200,month,2024-03,0
close_above_sma200,month,2024-04,0
close_above_sma200,month,2024-05,0
close_above_sma200,month,2024-06,0
close_above_sma200,month,2024-07,0
close_above_sma200,month,2024-08,0
close_above_sma200,month,2024-09,0
close_above_sma200,month,2024-10,0
close_above_sma200,month,2024-11,0
close_above_sma200,month,2024-12,0
close_above_sma200,month,2025-01,0
close_above_sma200,month,2025-02,0
close_above_sma200,month,2025-03,0
close_above_sma200,month,2025-04,0
close_above_sma200,month,2025-05,0
close_above_sma200,month,2025-06,0
close_above_sma200,month,2025-07,0
close_above_sma200,month,2025-08,0
close_above_sma200,month,2025-09,0
close_above_sma200,month,2025-10,0
close_above_sma200,month,2025-11,0
close_above_sma200,month,2025-12,0
positive_90_day_momentum,year,2018,-0.14282224614048
positive_90_day_momentum,year,2019,0.850090548942151758543413485
positive_90_day_momentum,year,2020,-0.2347594132921992461442751103
positive_90_day_momentum,year,2021,0
positive_90_day_momentum,year,2022,0
positive_90_day_momentum,year,2023,0
positive_90_day_momentum,year,2024,0
positive_90_day_momentum,year,2025,0
positive_90_day_momentum,month,2018-09,-0.02865177080184
positive_90_day_momentum,month,2018-10,-0.007933785611194892128933526
positive_90_day_momentum,month,2018-11,-0.1104808976613412028238599745
positive_90_day_momentum,month,2018-12,0
positive_90_day_momentum,month,2019-01,0
positive_90_day_momentum,month,2019-02,-0.0099837885193209559323143708
positive_90_day_momentum,month,2019-03,-0.0128628194492065912366312175
positive_90_day_momentum,month,2019-04,0.220256914913053163507657413
positive_90_day_momentum,month,2019-05,0.394220477612576613471805322
positive_90_day_momentum,month,2019-06,0.113789128026575651004010422
positive_90_day_momentum,month,2019-07,0.000062025785863931700911997
positive_90_day_momentum,month,2019-08,-0.011319259286075358921519522
positive_90_day_momentum,month,2019-09,0.010574743653721577213561288
positive_90_day_momentum,month,2019-10,-0.0001473348394767752519608264
positive_90_day_momentum,month,2019-11,0
positive_90_day_momentum,month,2019-12,0
positive_90_day_momentum,month,2020-01,0.018325073440048585114140987
positive_90_day_momentum,month,2020-02,-0.0700976384632720342738439833
positive_90_day_momentum,month,2020-03,-0.1918830646484626636868852475
positive_90_day_momentum,month,2020-04,0
positive_90_day_momentum,month,2020-05,0
positive_90_day_momentum,month,2020-06,0
positive_90_day_momentum,month,2020-07,0
positive_90_day_momentum,month,2020-08,0
positive_90_day_momentum,month,2020-09,0
